obsid,calid,begin,end,duration,array phase,Power (maximum zenith normalised),Freq (centre MHz),best pointing ,SN,TOAs,notes,Toa command,download command,position command,opp command,Timing command,"""On"" pulses",To be used in paper?,
1292933216,1292933096,1292933218,1292935527,2310,P2E,0.501,154.24,00:26:36.57_-19:55:54.87,26.85,,Done,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1292933216 --begin 1292933218 --end 1292935527 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1292933216 --calid 1292933096 --begin 1292933218 --end 1292935527 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1292933216 --calid 1292933096 --beg 1292933218 --end 1292935527 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1292933216/1292933216_*_0001.fits --time_split --obsid 1292933216 ,-S 1145,,"00:26:35.60_-19:55:06.86', '', '00:26:37.50_-19:56:15.04', '', '', '00:26:36.49_-19:55:54.87', '', '', '00:26:32.41_-19:55:47.26', '', '', '00:26:35.73_-19:56:04.96', '00:26:34.89_-19:56:04.96', '00:26:35.67_-19:55:47.26', '', '00:26:32.41_-19:55:47.26', '', '00:26:35.06_-19:56:06.22', '00:26:37.30_-19:56:27.63', '', '00:26:36.74_-19:56:15.04', '00:26:34.98_-19:56:15.04', '00:26:34.89_-19:56:16.30', '00:26:35.40_-19:56:04.96', '00:26:36.41_-19:56:13.78', '00:26:36.57_-19:55:54.87"
1295597128,,1295597130,1295598037,908,P2E,0.361,154.24,,,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1295597128 --begin 1295597130 --end 1295598037 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1295597128 --calid  --begin 1295597130 --end 1295598037 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1295597128 --calid  --beg 1295597130 --end 1295598037 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1295597128/1295597128_*_0001.fits --time_split --obsid 1295597128 ,,,"00:26:35.60_-19:55:06.86', '', '00:26:37.50_-19:56:15.04', '', '', '00:26:36.49_-19:55:54.87', '', '', '00:26:32.41_-19:55:47.26', '', '', '00:26:35.73_-19:56:04.96', '00:26:34.89_-19:56:04.96', '00:26:35.67_-19:55:47.26', '', '00:26:32.41_-19:55:47.26', '', '00:26:35.06_-19:56:06.22', '00:26:37.30_-19:56:27.63', '', '00:26:36.74_-19:56:15.04', '00:26:34.98_-19:56:15.04', '00:26:34.89_-19:56:16.30', '00:26:35.40_-19:56:04.96', '00:26:36.41_-19:56:13.78', '00:26:36.57_-19:55:54.87', '"
1295598640,,1295598642,1295599604,963,P2E,0.372,154.24,,,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1295598640 --begin 1295598642 --end 1295599604 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1295598640 --calid  --begin 1295598642 --end 1295599604 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1295598640 --calid  --beg 1295598642 --end 1295599604 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1295598640/1295598640_*_0001.fits --time_split --obsid 1295598640 ,,,"00:26:35.60_-19:55:06.86', '', '00:26:37.50_-19:56:15.04', '', '', '00:26:36.49_-19:55:54.87', '', '', '00:26:32.41_-19:55:47.26', '', '', '00:26:35.73_-19:56:04.96', '00:26:34.89_-19:56:04.96', '00:26:35.67_-19:55:47.26', '', '00:26:32.41_-19:55:47.26', '', '00:26:35.06_-19:56:06.22', '00:26:37.30_-19:56:27.63', '', '00:26:36.74_-19:56:15.04', '00:26:34.98_-19:56:15.04', '00:26:34.89_-19:56:16.30', '00:26:35.40_-19:56:04.96', '00:26:36.41_-19:56:13.78', '00:26:36.57_-19:55:54.87', '', '"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,Current best position guess,,00:26:37.30_-19:56:27.63,<- localisation in P2E,,,,,,,,,,
,,,,,,,,00:26:35.60_-19:55:06.86,<- localisation in P2C,,,,,,,,,,
,,,,,,,,00:26:30.41_-19:59:45.17,<- best detection in smart pointings,,,,,,,,,,
